favorite_count,media/0/type,reply_count,retweet_count,view_count
85013,photo,1310,3441,13628618
10927,,74,486,723532
6872,,64,397,307288
5614,,81,280,459723
38311,,214,1648,2876041
41106,photo,185,2251,3628052
23637,animated_gif,55,1295,936841
55020,,252,2459,9165285
5610,photo,9,229,210759
61509,,205,4017,4430327
51788,,174,3713,3135457
193764,,431,11862,10732735
12803,photo,18,299,325162
135918,,1389,6399,8882390
21439,,17,293,500294
175136,,821,17805,15382960
7834,video,34,350,244289
38639,,161,1329,2989079
26641,video,96,733,7916760
25865,video,194,1633,1184364
20288,,755,585,1796118
4094,,15,30,188566
39924,,94,1972,2933226
5362,video,38,311,306850
50853,,199,2421,6528301
26635,,76,1168,2278583
13014,,116,567,398455
11016,,24,155,390461
123392,photo,2726,8171,15316292
87464,,207,4948,4905623
2936,,5,14,135520
52575,,150,2856,3320901
18183,photo,30,438,352501
60721,,195,3972,5767480
19195,video,81,903,2074510
11294,,433,777,2904649
4683,,77,209,806005
3703,,10,51,221633
53834,,194,3058,4958880
6925,photo,9,134,769687
80520,video,927,3047,10091191
16545,,68,625,1167620
65460,photo,211,1548,2644071
35865,,111,1879,2013164
56892,,166,1591,2657925
16353,photo,36,314,473123
151709,photo,727,8405,6337199
28273,,181,1217,1746646
41913,photo,215,3044,4616700
22243,photo,173,1415,888230
69910,photo,831,4485,4363305
17036,,174,1633,857576
153643,photo,1279,3727,13628839
25669,,231,1005,1274015
18378,,116,812,1005973
8143,,118,576,410839
5620,,22,40,281878
27686,,377,432,2484916
40164,photo,174,650,3155300
17143,,54,405,2354307
27326,,98,1227,2271989
50694,,81,5324,3617742
56745,photo,129,1404,2236541
138682,,668,8188,16358063
86775,,167,4924,5531716
64823,photo,81,2866,3240067
52822,,82,3410,2792524
95761,,466,8001,7123268
74623,photo,265,4895,2224640
89102,video,257,6380,6345036
36487,,97,2215,1656003
72536,photo,257,1068,5614385
61691,photo,106,2419,1670905
12899,,36,223,455621
133356,,347,8339,7510234
22892,photo,121,480,836359
3232,,10,55,185691
49082,,244,4115,2173801
133671,photo,334,6648,6728672
63017,photo,224,6151,2164655
114333,photo,257,7682,5060603
224416,,776,27077,11596074
7219,video,31,163,859070
65018,photo,500,2025,7965867
7734,photo,16,127,216339
40351,,98,1181,2638450
2035,,11,17,125987
88605,,249,9818,3754160
13620,,70,355,891472
80473,,478,5184,9273567
90296,,182,5286,5515201
21587,photo,95,368,1559870
29382,photo,368,855,2391116
15477,photo,57,446,664894
10568,,58,353,755473
20452,,84,582,836726
11123,,12,140,271707
97770,,284,5364,5908663
34628,,48,529,933836
137151,photo,853,6705,10393330
114144,,530,11026,6671043
39845,,360,2673,2891534
19533,animated_gif,33,504,442134
75299,video,589,2688,7647843
164516,,622,10471,10075653
142750,,299,9268,8520679
23112,photo,25,578,404715
173937,,413,9884,9643742
100637,,479,4586,8893622
45569,,203,3863,3132960
6108,,15,365,209586
29515,photo,106,2586,1136906
105274,,195,7247,4944747
24763,,66,907,1408761
88569,photo,275,3534,3554095
18137,photo,166,1427,555194
98262,,315,5733,6470019
33136,,131,1811,2871554
58726,,200,3742,3888563
48920,video,78,3429,2872983
18321,,264,1328,1098999
14442,,101,501,1213026
28295,photo,240,787,1220318
15199,photo,17,246,315002
117820,photo,298,2704,3467610
