favorite_count,media/0/type,reply_count,retweet_count,view_count
14772,,1736,2449,
293587,,36735,19530,50679454
106975,,9612,10649,14264512
104290,,12699,9531,12446124
363431,photo,10236,34288,22446812
175409,,11205,17945,17999410
67670,,6488,6796,14309922
10928,photo,3075,1490,
59422,,5963,6856,11781114
158057,,10970,9125,15036531
80893,photo,6443,7152,25241698
295905,,29501,30809,27340651
73414,photo,3795,7995,
29609,photo,1828,3260,
310720,photo,11573,19474,23284178
94680,,9676,7711,19616358
641702,photo,23504,57965,40703627
106986,,5268,8850,12761093
329044,,25436,24692,57334764
35623,photo,2606,4471,
332598,video,17131,31774,31474307
14657,,1604,2784,
9434,photo,597,1181,
61896,,8015,5365,14696842
347295,,24280,23571,41448116
524242,photo,14581,26875,38558739
496013,photo,13292,30348,33367183
13800,photo,483,1701,
145801,photo,4321,15695,
114114,video,2689,13241,
851427,video,40780,77039,92057290
505951,photo,21510,45210,41748129
163619,video,4401,30328,
304484,photo,11492,18179,32384576
90785,,5432,9132,22722898
164331,,10487,13272,23416757
42014,photo,1085,4778,
75146,photo,1778,7293,
166561,,9000,16447,32039526
46616,video,2110,5422,
69012,video,1848,7128,
21918,,970,3671,
28850,photo,1657,3438,
15186,,1331,2610,
216576,,19205,14486,44786486
634142,photo,41815,74952,68660355
89918,,7396,8890,16682651
96592,photo,4087,12074,
17924,,1820,2177,
14025,,775,1678,
10138,,591,1348,
12763,,1261,2211,
103688,,5858,6484,12908032
94050,,5938,8015,16880663
189231,,10023,15571,36782942
28517,,1224,2911,
53886,photo,1670,8326,
244117,,14330,18197,40515752
61904,photo,2226,9434,
38003,video,1242,6136,
799655,photo,27178,54781,74103979
44791,photo,1306,5754,
53476,photo,1769,6920,
68715,,2651,5409,15805478
454416,photo,11785,51786,47697913
12290,,346,1027,
116638,,5137,9890,18160237
86291,,5764,6878,15785711
127465,,5268,11651,21796088
10744,,352,1025,
554533,photo,12992,37211,47488439
125625,,3577,13412,8050539
434810,,18175,59148,52485800
39535,,6220,4071,10960055
14049,,480,2702,
32016,,1272,1629,8432381
41037,,2379,2109,5298575
187631,,10081,13653,31838194
27418,photo,629,2768,
22944,video,697,2440,
24286,video,659,2969,
28305,video,1791,3137,
17996,photo,1573,2493,
7688,,268,873,
261593,photo,9724,19173,35097102
8029,photo,457,1195,
167858,,8379,15898,30434193
6494,,332,680,
7218,,250,756,
20443,photo,913,2344,
572264,photo,16942,45118,58523378
37440,,2150,2283,6315388
164967,,18168,11716,32502295
16335,,865,2534,
15056,,2947,2470,
100465,,4418,10706,16498446
111887,,7234,12174,29217666
107808,,9918,9257,17756013
17894,photo,1184,3449,
81231,photo,5905,11066,11910467
22585,,1526,3558,
90293,,3444,7458,5849050
120028,,5669,11986,16501047
174558,photo,9417,28276,21687296
240068,,14797,28924,13470659
165736,photo,16032,14412,41125726
41649,photo,1350,5061,
325958,,30063,54555,40138468
46162,photo,3313,3262,
235703,,12203,14587,47822788
174910,,12188,23651,27706707
64481,,6461,5895,13497550
46681,photo,2123,6199,
212300,,21223,16968,43164477
34003,photo,959,3802,
189991,,36101,17282,51770258
152303,,18645,12440,18472418
67944,,5796,6918,11038445
81488,,7324,6420,13563804
64737,,6677,4311,11502440
243021,photo,7968,26172,32836975
166664,,16723,14434,33239129
72618,,4859,6372,10603813
112423,,5342,5706,10020807
364438,photo,19158,24160,65648127
21925,photo,1116,2403,
59847,photo,2931,4133,10697085
58805,,5097,6063,11609154
266355,photo,9419,16796,18610834
312165,,23106,22443,33301864
59716,,6659,6374,20765440
162735,,10588,14288,22996986
145756,photo,7345,11824,13293755
311456,photo,10634,13596,29791429
149238,,8928,21289,17429412
254564,photo,10743,21751,33088971
195420,photo,7964,17020,19668107
24126,photo,2140,2321,
19238,,1480,1362,5341090
48106,,3323,3368,9403368
91866,photo,5453,9562,14991999
30053,photo,1403,3992,
29253,video,1582,3642,
25887,video,991,2949,
24825,video,798,3009,
10439,,710,1101,
88314,,6733,10218,18014826
235289,video,12882,23717,21811287
26284,,1619,4324,
207730,photo,12586,18862,29656428
559872,photo,18278,58177,54177500
292875,,19064,16276,34063456
766373,photo,26292,57264,80825887
