favorite_count,media/0/type,reply_count,retweet_count,view_count
597,,7,43,15273
107,,0,0,3224
1059,,5,39,33689
996,,12,35,18062
475,photo,7,4,13186
204,,4,2,6334
825,,9,16,22204
1427,,69,45,41236
670,,30,12,35299
125,photo,1,0,7781
360,,16,15,16291
3250,photo,17,70,91982
530,,16,10,26731
268,,0,2,10716
2539,,11,74,64979
157,,55,0,22721
1097,,18,76,60139
320,photo,2,2,8940
666,photo,7,8,43242
2512,photo,14,82,51738
1192,photo,12,13,56247
276,,18,10,20299
568,photo,4,2,19921
768,,9,6,27332
4038,photo,19,288,85144
927,,5,8,56802
37102,video,1673,3978,
522,,12,47,17478
402,,2,2,11715
2627,photo,20,84,113299
213,,1,1,7654
1120,,9,16,63258
1522,,18,7,32941
170,,6,4,9837
265,,10,6,13934
256,photo,1,8,9619
581,,6,52,23434
369,,35,2,17849
411,video,5,35,31988
1882,,9,59,63612
596,,8,1,62194
204,video,6,3,179698
825,photo,6,10,45293
1019,photo,16,27,41752
734,,7,4,63691
668,video,17,55,92359
532,video,2,22,61065
97,,4,0,8625
392,,7,0,19741
146,,1,1,9295
806,photo,3,6,31966
1041,photo,4,77,40761
359,photo,4,11,18119
345,,6,3,13552
1888,,24,153,70899
762,photo,13,3,29922
225,,2,3,10190
1797,,8,72,94731
963,,2,21,56931
356,,9,40,17315
492,,9,6,19932
1733,photo,13,39,83779
765,,7,5,40440
865,,7,29,64300
2029,,10,172,
978,,11,26,55666
1532,,25,297,
190,,4,2,9395
1000,,10,29,33278
148,photo,0,4,10667
416,,108,2,413091
365,photo,3,5,15046
4549,photo,17,140,154971
290,,2,2,11442
447,,16,21,26136
241,,7,0,16210
81,,3,0,7904
512,,3,43,21675
290,,10,16,13086
784,photo,7,6,19994
547,photo,1,3,19011
2171,,37,58,106916
15490,video,107,2092,
314,animated_gif,0,1,11388
932,,5,2,25092
710,,8,11,32271
321,photo,4,0,14694
457,photo,1,19,
713,photo,38,17,19205
152,,12,5,14759
250,photo,14,2,15778
476,,1,0,15216
1346,,222,2,102169
633,,14,63,30555
612,,0,11,38016
486,,4,1,44700
248,photo,11,1,14524
1425,photo,12,36,35065
109,,0,0,10714
414,,6,12,18446
223,photo,8,7,36897
119,,2,0,8239
831,photo,9,17,19846
4737,,12,114,132282
